0.0000	0.0000	0.0000	0.0066	0.0066	0.0263	0.0263	0.0066	0.0066	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0066	0.0066	0.0263	0.0263	0.0066	0.0066	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0066	0.0066	0.0263	0.0263	0.0066	0.0066	0.0000	0.0000	0.0000	0.0000
0.0066	0.0066	0.0066	0.0066	0.0066	0.0263	0.0263	0.0066	0.0066	0.0066	0.0066	0.0066	0.0066
0.0066	0.0066	0.0066	0.0066	0.0066	0.0263	0.0263	0.0066	0.0066	0.0066	0.0066	0.0066	0.0066
0.0263	0.0263	0.0263	0.0263	0.0263	-0.0357	-0.0357	-0.0357	-0.0357	-0.0357	-0.0357	-0.0357	-0.0357
0.0263	0.0263	0.0263	0.0263	0.0263	-0.0357	-0.0357	-0.0357	-0.0357	-0.0357	-0.0357	-0.0357	-0.0357
0.0066	0.0066	0.0066	0.0066	0.0066	-0.0357	-0.0357	0.0066	0.0066	0.0066	0.0066	0.0066	0.0066
0.0066	0.0066	0.0066	0.0066	0.0066	-0.0357	-0.0357	0.0066	0.0066	0.0066	0.0066	0.0066	0.0066
0.0000	0.0000	0.0000	0.0066	0.0066	-0.0357	-0.0357	0.0066	0.0066	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0066	0.0066	-0.0357	-0.0357	0.0066	0.0066	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0066	0.0066	-0.0357	-0.0357	0.0066	0.0066	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0066	0.0066	-0.0357	-0.0357	0.0066	0.0066	0.0000	0.0000	0.0000	0.0000
